@CesarBHzz twitterhandle_VERB_Fin_Sing
Usar usar_VERB_Inf
criança criança_NOUN_Fem_Sing
dessa de_esse_ADP_DET_Fem_Sing
forma forma_NOUN_Fem_Sing
tão tão_ADV
explícita explícito_ADJ_Fem_Sing
é ser_AUX_Fin_Sing
desonesto desonesto_ADJ_Masc_Sing
. .
Principalmente principalmente_ADV
querendo querer_VERB_Part
colar colar_VERB_Inf
no em_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
essa esse_DET_Fem_Sing
imagem imagem_NOUN_Fem_Sing
. .
. .
. .
O o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
ele ele_PRON_Masc_Sing
diz dizer_VERB_Fin_Sing
é ser_AUX_Fin_Sing
exatamente exatamente_ADV
o o_DET_Masc_Sing
contrário contrário_NOUN_Masc_Sing
pois pois_ADV
prega pregar_VERB_Fin_Sing
o o_DET_Masc_Sing
porte porte_NOUN_Masc_Sing
de de_ADP
arma arma_NOUN
para para_ADP
o o_DET_Masc_Sing
cidadão cidadão_NOUN_Masc_Sing
de de_ADP
bem bem_ADV
se se_PRON
proteger proteger_VERB_Inf_Sing
de de_ADP
bandidos bandido_NOUN_Masc_Plur
que que_PRON_Rel_Masc_Plur
atentam atentar_VERB_Fin_Plur
contra contra_ADP
a o_DET_Fem_Sing
segurança segurança_NOUN_Fem_Sing
dsa dsa_ADJ_Fem_Sing
nossas nosso_DET_Fem_Plur
famílias família_NOUN_Fem_Plur
. .
