@RonnyCombate twitterhandle
Espero esperar
que que
aprendam aprender
a a
ter ter
mais muito
amor amor
a a
vida vida
das de_o
pessoas pessoa
em em
vez vez
de de
desejar desejar
a o
morte morte
. .
Afinal afinal
todos todo
vimos ver
que que
Bolsonaro bolsonaro
falava falar
em em
armas arma
para para
todo todo
tempo tempo
. .
Por por
fim fim
tentou tentar
da da
o o
golpe golpe
militar militar
no em_o
país país
Para para
ficar ficar
no em_o
poder poder
e e
assim assim
não não
pagar pagar
pelos por_o
seus seu
crimes crime
contra contra
o o
país país
e e
o o
povo povo
. .
