@Estadao twitterhandle
Esses esse
aí aí
não não
tem ter
histórico histórico
de de
defender defender
bandeiras bandeira
. .
Conservador conservador
mesmo mesmo
, ,
dentre dentre
tantos tanto
progressistas progressista
declarados declarar
, ,
ou ou
isentões isentões
, ,
só só
Jair jair
Bolsonaro bolsonaro
. .
É ser
o o
único único
que que
não não
relativiza relativiza
pautas pauta
caras caro
ao a_o
conservadorismo conservadorismo
, ,
nos em_o
campos campo
cultural cultural
, ,
moral moral
, ,
dos de_o
costumes costume
, ,
e e
: :
/ /
/ /
