Sensacional sensacional_ADJ_Masc_Sing
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
smiling_face_with_sunglasses_e smiling_face_with_sunglasses_e
flag_brazil_e flag_brazil_e
. .
O o_DET_Masc_Sing
nosso nosso_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
Jair jair_PROPN_Masc_Sing
Messias messias_PROPN_Sing
Bolsonaro bolsonaro_PROPN_Sing
está estar_AUX_Fin_Sing
comprometido comprometer_VERB_Part_Masc_Sing
com com_ADP
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
até até_ADP
o o_DET_Masc_Sing
talo talo_NOUN_Masc_Sing
. .
Ainda ainda_ADV
à a_o_ADP_DET
muito muito_ADV
que que_SCONJ
ser ser_AUX_Inf
feito fazer_VERB_Part_Masc_Sing
em em_ADP
nossa nosso_DET_Fem_Sing
pátria pátria_NOUN_Fem_Sing
. .
Sigamos seguir_VERB_Fin_Plur
firme firme_ADJ_Fem_Sing
no em_o_ADP_DET_Masc_Sing
apoio apoio_NOUN_Masc_Sing
ao a_o_ADP_DET_Masc_Sing
@prjairmessias twitterhandle_NOUN_Masc_Sing
Louvado louvado_ADJ_Masc_Sing
seja ser_AUX_Fin_Sing
Deus deus_NOUN
pela por_o_ADP_DET_Fem_Sing
vida vida_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
Mito mito_PROPN_Masc_Sing
raising_hands_e raising_hands_e
smiling_face_with_sunglasses_e smiling_face_with_sunglasses_e
flag_brazil_e flag_brazil_e
. .
