@LulaOficial twitterhandle_ADJ_Masc_Sing
@kfr8d76wxx twitterhandle_NOUN_Masc_Sing
Ladrão ladrão_ADJ_Masc_Sing
cachaceiro cachaceiro_NOUN_Masc_Sing
, ,
o o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
não não_ADV
é ser_AUX_Fin_Sing
bobo bobo_ADJ_Masc_Sing
, ,
sabemos saber_VERB_Fin_Plur
bem bem_ADV
que que_SCONJ
vc vc_PROPN_Masc_Sing
pegou pegar_VERB_Fin_Sing
o o_DET_Masc_Sing
país país_NOUN_Masc_Sing
na em_o_ADP_DET_Fem_Sing
melhor bom_ADJ_Fem_Sing
fase fase_NOUN_Fem_Sing
e e_CCONJ
roubou roubar_VERB_Fin_Sing
tudo tudo_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
pôde poder_AUX_Fin_Sing
. .
Sabemos saber_VERB_Fin_Plur
tbm tbm_VERB_Fin_Plur
que que_SCONJ
no em_o_ADP_DET_Masc_Sing
início início_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
o o_DET_Masc_Sing
país país_NOUN_Masc_Sing
tava tava_NOUN_Fem_Sing
recuperando recuperar_VERB_Part
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
o o_DET_Masc_Sing
ladrão ladrão_NOUN_Masc_Sing
levou levar_VERB_Fin_Sing
, ,
mas mas_CCONJ
ai ai_NOUN_Masc_Sing
veio vir_VERB_Fin_Sing
a o_DET_Fem_Sing
pandemia pandemia_NOUN_Fem_Sing
e e_CCONJ
a o_DET_Fem_Sing
guerra guerra_NOUN_Fem_Sing
. .
Mas mas_CCONJ
com com_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
recuperarmos recuperarmos_VERB_Fin_Plur
em em_ADP
breve breve_NOUN_Masc_Sing
. .
