RT rt_PROPN_Masc_Sing
@mphistoria twitterhandle_VERB_Fin_Sing
: :
Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
claro claro_ADJ_Masc_Sing
: :
irá ir_AUX_Fin_Sing
banir banir_VERB_Inf
ou ou_CCONJ
prender prender_VERB_Inf
 "  "
comunistas comunista_NOUN_Masc_Plur
 "  "
. .
Se se_SCONJ
você você_PRON_Sing
ousar ousar_VERB_Inf
questionar questionar_VERB_Inf
seu seu_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
, ,
você você_PRON_Sing
se se_PRON_Fem_Sing
tornará tornar_VERB_Fin_Sing
um um_DET_Masc_Sing
 "  "
comunista comunista_NOUN_Masc_Sing
 "  "
. .
… …
