@marcostaxint twitterhandle
Que que
vergonha vergonha
para para
o o
Brasil brasil
ter ter
um um
sujeito sujeito
como como
esse esse
barroso barroso
, ,
militante militante
comunista comunista
da de_o
extrema extremo
esquerda esquerda
disfarçado disfarçar
de de
juíz juíz
, ,
agindo agir
sempre sempre
contra contra
o o
país país
, ,
sem sem
nenhuma nenhum
ética ética
, ,
divulgando divulgar
fake fake
news news
diariamente diariamente
e e
atacando atacar
o o
Presidente presidente
da de_o
República república
Jair jair
Bolsonaro bolsonaro
e e
os o
cidadãos cidadão
de de
bem bem
. .
