Israel israel
Bolsonaro bolsonaro
nomeou nomear
5 5
MIL mil
cargos cargo
comissionados comissionar
com com
salários salário
até até
R$16 r$16
MIL mil
. .
. .
. .
Só só
o o
Sérgio sérgio
Moro moro
teve ter
2473 @card@
cargos cargo
a a
sua seu
disposição disposição
para para
nomear nomear
. .
Tiraram tirar
o o
HASHTAG hashtag
#bolsafamília_h #bolsafamília_h
dos de_o
pobres pobre
para para
sustentar sustentar
o o
HASHTAG hashtag
#bolsamamata_h #bolsamamata_h
dos de_o
amigos amigo
, ,
parentes parente
et et
caterva caterva
! !
! !
! !
