olha olhar
o o
merda merda
comunista comunista
do de_o
Noblat noblat
q q
postou postar
uma um
foto foto
do de_o
Bolsonaro bolsonaro
como como
um um
nazista nazista
mas mas
ele ele
mesmo mesmo
era ser
chegado chegar
do de_o
maldito maldito
ditador ditador
Fidel fidel
q q
agora agora
jaz jazer
nas em_o
profundezas profundeza
do de_o
inferno inferno
! !
espero esperar
q q
se se
encontrem encontrar
em em
breve breve
pra pra
matar matar
a o
saudade saudade
! !
! !
