Bolsonaro bolsonaro_NOUN_Masc_Sing
com com_ADP
101 101_NUM
imóveis imóvel_NOUN_Masc_Plur
, ,
comprados comprar_VERB_Part_Masc_Plur
na em_o_ADP_DET_Fem_Sing
família família_NOUN_Fem_Sing
, ,
metade metade_NOUN_Fem_Sing
pago pagar_VERB_Part_Masc_Sing
em em_ADP
 "  "
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
, ,
é ser_VERB_Fin_Sing
Mito mito_PROPN_Masc_Sing
! !
Lula lula_PROPN_Masc_Sing
com com_ADP
3 3_PROPN_Sing
imóveis-classe imóveis-classe
média- média-
era ser_AUX_Fin_Sing
chamado chamar_VERB_Part_Masc_Sing
de de_ADP
ladrão ladrão_NOUN_Masc_Sing
. .
Pior pior_ADJ_Masc_Sing
cego cego_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
não não_ADV
quer querer_VERB_Fin_Sing
ver ver_VERB_Inf
. .
