Jair jair
Bolsonaro bolsonaro
tem ter
nervo nervo
de de
aço aço
. .
Tem ter
décadas década
de de
bagagem bagagem
nas em_o
costas costa
. .
Outros outro
no em_o
lugar lugar
dele de_ele
já já
teriam ter
caído cair
e e
caído cair
nas em_o
armadilhas armadilha
dos de_o
inimigos inimigo
. .
Os o
inimigos inimigo
do de_o
Brasil brasil
e e
do de_o
Bolsonaro bolsonaro
nunca nunca
gastaram gastar
tanta tanto
energia energia
e e
dinheiro dinheiro
contra contra
um um
alvo alvo
como como
agora agora
. .
E e
Bolsonaro bolsonaro
está estar
lá lá
. .
backhand_index_pointing_down_e backhand_index_pointing_down_e
