Errar errar
é ser
humano humano
. .
Votar votar
em em
Bolsonaro bolsonaro
uma um
segunda segundo
vez vez
é é
burrice burrice
, ,
falta falta
de de
inteligência inteligência
, ,
discernimento discernimento
e e
amor amor
a a
Pátria pátria
. .
Não não
importa importar
quem quem
está estar
concorrendo concorrer
no em_o
primeiro primeiro
turno turno
, ,
se se
de de
esquerda esquerda
, ,
direita direita
ou ou
centro centro
. .
Qualquer qualquer
um um
que que
respire respirar
e e
pense pensar
, ,
é ser
melhor bom
do de_o
que que
este este
genocida genocida
inapto inapto
. .
