HASHTAG hashtag_PROPN_Masc_Sing
#boaviagempresidente_h #boaviagempresidente_h
veja ver_VERB_Fin_Sing
a o_DET_Fem_Sing
postura postura_NOUN_Fem_Sing
dos de_o_ADP_DET_Masc_Plur
esquerdistas esquerdista_NOUN_Masc_Plur
, ,
não não_ADV
tem ter_AUX_Fin_Sing
como como_ADP
tolerar tolerar_VERB_Inf
esse esse_DET_Masc_Sing
tipo tipo_NOUN_Masc_Sing
de de_ADP
pessoas pessoa_NOUN_Fem_Plur
, ,
querendo querer_VERB_Part
respeito respeito_NOUN_Masc_Sing
+não +não
tem ter_VERB_Fin_Sing
respeito respeito_NOUN_Masc_Sing
, ,
vcs vcs_NOUN_Masc_Plur
vão ir_AUX_Fin_Plur
ter ter_VERB_Inf
que que_SCONJ
engolir engolir_VERB_Inf
. .
. .
. .
Quem quem_PRON_Rel_Sing
ganhou ganhar_VERB_Fin_Sing
foi ser_AUX_Fin_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
não não_ADV
foi ser_AUX_Fin_Sing
o o_DET_Masc_Sing
poste poste_NOUN_Masc_Sing
mandado mandar_VERB_Part_Masc_Sing
do de_o_ADP_DET_Masc_Sing
ladrão ladrão_NOUN_Masc_Sing
, ,
bando bando_NOUN_Masc_Sing
de de_ADP
sem sem_ADP
noção noção_NOUN_Fem_Sing
essa esse_DET_Fem_Sing
esquerda esquerda_NOUN_Fem_Sing
