No em_o
tempo tempo
de de
Jesus jesus
isso isso
seria ser
scarnio scarnio
! !
Um um
Homem homem
que que
fala falar
em em
matar matar
, ,
julgar julgar
o o
próximo próximo
e e
diz dizer
que que
errou errar
em em
ter ter
filha filho
mulher mulher
! !
Evangélicos evangélico
, ,
pelo por_o
Amor amor
de de
é é
Deus deus
! !
De de
olho olho
em em
voto voto
evangélico evangélico
, ,
Bolsonaro bolsonaro
participa participar
de de
Marcha marcha
para para
Jesus jesus
em em
SP sp
via ver
@UOLPolitica twitterhandle
@UOL twitterhandle
