Engraçado engraçar
meu meu
pai pai
defendendo defender
Bolsonaro bolsonaro
em em
" "
nome nome
da de_o
família família
" "
. .
O o
cara cara
escondeu esconder
que que
eu eu
tinha ter
uma um
irmã irmã
por por
4 4
anos ano
. .
Enganava enganar
a o
coitada coitado
da de_o
minha meu
mãe mãe
, ,
sumia sumir
, ,
nunca nunca
ajudou ajudar
com com
pensão pensão
até até
minha meu
avó avó
finalmente finalmente
botar botar
pressão pressão
na em_o
minha meu
mãe mãe
. .
E e
eu eu
o o
admirava admirar
pela por_o
" "
inteligência inteligência
" "
. .
Só só
decepção decepção
. .
