Hoje hoje
é ser
dia dia
28 28
/ /
03 @card@
/ /
2019 @card@
! !
Quando quando
será ser
o o
depoimento depoimento
do de_o
Flávio flávio
Bolsonaro bolsonaro
? ?
E e
as o
investigações investigação
sobre sobre
o o
Queiroz queiroz
, ,
esposa esposo
e e
filhas filha
? ?
E e
o o
cheque cheque
da de_o
Michele michele
Bolsonaro bolsonaro
? ?
E e
o o
Jair jair
? ?
Esquemas esquema
? ?
E e
os o
milicianos miliciano
? ?
E e
suas seu
famílias família
nos em_o
gabinetes gabinete
? ?
Quem quem
mandou mandar
matar matar
Marielle marielle
? ?
Cadê cadê
as o
respostas resposta
? ?
! !
? ?
! !
