@rosaneoliveira twitterhandle
Deixa deixar
de de
ser ser
safada safar
e e
posta pôr
aí aí
no em_o
teu teu
tt tt
vídeos vídeo
de de
famílias família
indignadas indignar
com com
diagnósticos diagnóstico
falsos falso
de de
Covid covid
. .
. .
. .
tu tu
não não
tem ter
coragem coragem
. .
. .
. .
é ser
militante militante
do de_o
PT pt
. .
. .
. .
teu teu
lema lema
: :
volta volta
dinheiro dinheiro
pra pra
RBS rbs
. .
. .
. .
aí aí
vou ir
apoiar apoiar
o o
Bolsonaro bolsonaro
. .
. .
tu tu
é ser
canalha canalha
