Chegamos chegar
a a
48 48
horas hora
e e
a o
postagem postagem
incentivando incentivar
a o
morte morte
e e
tortura tortura
de de
pessoas pessoa
que que
votaram votar
em em
Bolsonaro bolsonaro
, ,
sejam ser
elas ele
conservadoras conservador
ou ou
liberais liberal
, ,
ainda ainda
se se
mantém manter
de de
pé pé
. .
É ser
inadmissível inadmissível
que que
uma um
plataforma plataforma
como como
o o
twitter twitter
não não
aplique aplicar
as o
regras regra
e e
vire virar
a o
cara cara
dessa de_esse
forma forma
ao a_o
discurso discurso
de de
ódio ódio
. .
