@Leandro71402485 twitterhandle_NUM
@RenaldyOliveira twitterhandle_NOUN_Fem_Sing
@Rconstantino twitterhandle_ADJ_Masc_Sing
@diegoreporter twitterhandle_NOUN_Masc_Sing
Bom bom_ADJ_Masc_Sing
, ,
o o_DET_Masc_Sing
único único_ADJ_Masc_Sing
chefe chefe_NOUN_Masc_Sing
de de_ADP
executivo executivo_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
vi ver_VERB_Fin_Sing
falar falar_VERB_Inf
e e_CCONJ
agir agir_VERB_Inf
a a_ADP
favor favor_NOUN
, ,
e e_CCONJ
que que_SCONJ
não não_ADV
vi ver_VERB_Fin_Sing
fazer fazer_VERB_Inf
decretos decreto_NOUN_Masc_Plur
ou ou_CCONJ
projetos projeto_NOUN_Masc_Plur
de de_ADP
lei lei_NOUN_Fem_Sing
contra contra_ADP
a o_DET_Fem_Sing
liberdade liberdade_NOUN_Fem_Sing
individual individual_ADJ_Fem_Sing
, ,
contra contra_ADP
a o_DET_Fem_Sing
vida vida_NOUN_Fem_Sing
, ,
contra contra_ADP
a o_DET_Fem_Sing
posse posse_NOUN_Fem_Sing
e e_CCONJ
o o_DET_Masc_Sing
porte porte_NOUN_Masc_Sing
de de_ADP
armas arma_NOUN_Fem_Plur
de de_ADP
fogo fogo_NOUN_Masc_Sing
, ,
contra contra_ADP
a o_DET_Fem_Sing
propriedade propriedade_NOUN_Fem_Sing
privada privado_ADJ_Fem_Sing
e e_CCONJ
contra contra_ADP
a o_DET_Fem_Sing
livre livre_ADJ_Fem_Sing
iniciativa iniciativa_NOUN_Fem_Sing
, ,
foi ser_AUX_Fin_Sing
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
. .
