Somente somente
o o
auxílio auxílio
emergencial emergencial
2020 @card@
/ /
21 21
pagou pagar
o o
equivalente equivalente
a a
13 13
anos ano
de de
Bolsa bolsa
Família família
. .
O o
governo governo
federal federal
salvou salvar
empregos emprego
, ,
matou matar
a o
fome fome
de de
milhões milhão
de de
brasileiros brasileiro
e e
movimentou movimentar
bilhões bilhão
na em_o
economia economia
durante durante
o o
lockdown lockdown
dos de_o
governadores governador
. .
Apesar apesar
das de_o
dificuldades dificuldade
, ,
ninguém ninguém
ficou ficar
para para
trás trás
. .
