Se se_SCONJ
o o_DET_Masc_Sing
laudo laudo_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
PF pf_PROPN_Fem_Sing
aponta apontar_VERB_Fin_Sing
que que_SCONJ
não não_ADV
existe existir_VERB_Fin_Sing
uma um_DET_Fem_Sing
rede rede_NOUN_Fem_Sing
de de_ADP
robôs robô_NOUN_Masc_Plur
na em_o_ADP_DET_Fem_Sing
Internet internet_PROPN_Fem_Sing
. .
Como como_ADP
o o_DET_Masc_Sing
@SenadoFederal twitterhandle_NOUN_Masc_Sing
pretene pretene_VERB_Fin_Sing
justificar justificar_VERB_Inf
seu seu_DET_Masc_Sing
ataque ataque_NOUN_Masc_Sing
a a_ADP
liberdade liberdade_NOUN_Fem_Sing
de de_ADP
expressão expressão_NOUN_Fem_Sing
nas em_o_ADP_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
? ?
É ser_AUX_Fin_Sing
um um_DET_Masc_Sing
grave grave_ADJ_Masc_Sing
atentado atentado_NOUN_Masc_Sing
a a_ADP
liberdade liberdade_NOUN_Fem_Sing
de de_ADP
expressão expressão_NOUN_Fem_Sing
. .
Por por_ADP
mim eu_PRON_Sing
, ,
já já_ADV
colocaria colocar_VERB_Fin_Sing
esses esse_DET_Masc_Plur
vagabundos vagabundo_NOUN_Masc_Plur
todos todo_PRON_Masc_Plur
na em_o_ADP_DET_Fem_Sing
cadeia cadeia_NOUN_Fem_Sing
. .
