@jairbolsonaro twitterhandle_VERB_Fin_Sing
@mctic twitterhandle_NOUN_Masc_Sing
@Astro_Pontes twitterhandle_ADJ_Masc_Plur
Parabéns parabéns_NOUN_Masc_Plur
Nosso nosso_DET_Masc_Sing
amado amado_ADJ_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
Jair jair_PROPN_Masc_Sing
Messias messias_PROPN_Sing
Bolsonaro bolsonaro_PROPN_Sing
. .
Deus deus_PROPN_Masc_Sing
abençoe abençoar_VERB_Fin_Sing
e e_CCONJ
proteja proteger_VERB_Fin_Sing
sempre sempre_ADV
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
red_heart_e red_heart_e
red_heart_e red_heart_e
red_heart_e red_heart_e
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
