Presidente presidente
Jair jair
Bolsonaro bolsonaro
deixou deixar
há há
pouco pouco
o o
Hospital hospital
das de_o
Forças forças
Armadas armadas
( (
HFA hfa
) )
, ,
em em
Brasília brasília
. .
Fora fora
da de_o
agenda agenda
oficial oficial
, ,
ele ele
deu dar
entrada entrada
no em_o
HFA hfa
por por
volta volta
das de_o
18h30 18h30
, ,
logo logo
após após
chegar chegar
da de_o
viagem viagem
que que
fez fazer
a o
Minas minas
Gerais gerais
. .
