Ainda ainda_ADV
tem ter_VERB_Fin_Sing
uns um_PRON_Masc_Plur
que que_PRON_Rel_Masc_Plur
vão ir_AUX_Fin_Plur
dizer dizer_VERB_Inf
 "  "
aaa aaa_VERB_Fin_Sing
mas mas_CCONJ
o o_DET_Masc_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
facilitou facilitar_VERB_Fin_Sing
a o_DET_Fem_Sing
posse posse_NOUN_Fem_Sing
de de_ADP
arma arma_NOUN_Fem_Sing
de de_ADP
fogo fogo_NOUN_Masc_Sing
e e_CCONJ
não não_ADV
o o_DET_Masc_Sing
porte porte_NOUN_Masc_Sing
 "  "
como como_ADP
se se_SCONJ
o o_DET_Masc_Sing
brasileiro brasileiro_ADJ_Masc_Sing
psicopata psicopata_NOUN_Masc_Sing
doente doente_ADJ_Masc_Sing
soubesse saber_VERB_Fin_Sing
a o_DET_Fem_Sing
diferença diferença_NOUN_Fem_Sing
