@jairbolsonaro twitterhandle
Boa bom
noite noite
Presidente presidente
e e
semana semana
abençoada abençoado
. .
Acabamos acabar
de de
rezar rezar
o o
terço terço
e e
como como
sempre sempre
fazemos fazer
, ,
colocamos colocar
o o
Senhor senhor
, ,
sua seu
família família
e e
o o
Brasil brasil
nas em_o
intenções intenção
. .
Deus deus
abençoe abençoar
e e
ilumine iluminar
sempre sempre
todas todo
suas seu
decisões decisão
. .
Abraço abraço
folded_hands_e folded_hands_e
raising_hands_e raising_hands_e
flag_brazil_e flag_brazil_e
handshake_e handshake_e
