RT rt_PROPN_Masc_Sing
@AfonsoFlorence twitterhandle_VERB_Fin_Sing
: :
Chefes chefe_NOUN_Masc_Plur
das de_o_ADP_DET_Fem_Plur
três três_NUM
forças força_NOUN_Fem_Plur
armadas armar_VERB_Part_Fem_Plur
entregam entregar_VERB_Fin_Plur
seus seu_DET_Masc_Plur
cargos cargo_NOUN_Masc_Plur
, ,
ineditamente ineditamente_ADV
de de_ADP
forma forma_NOUN_Fem_Sing
simultânea simultâneo_ADJ_Fem_Sing
, ,
numa em_um_ADP_DET_Fem_Sing
nítida nítido_ADJ_Fem_Sing
reprovação reprovação_NOUN_Fem_Sing
às a_o_ADP_DET
insist insist_NOUN_Fem_Sing
… …
