@jairbolsonaro twitterhandle
Obrigada obrigado
Presidente presidente
Bolsonaro bolsonaro
, ,
por por
tudo tudo
que que
fez fazer
pelo por_o
país país
! !
! !
Que que
Deus deus
abençoe abençoar
sua seu
vida vida
grandemente grandemente
folded_hands_e folded_hands_e
red_heart_e red_heart_e
red_heart_e red_heart_e
red_heart_e red_heart_e
red_heart_e red_heart_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
clapping_hands_light_skin_tone_e clapping_hands_light_skin_tone_e
clapping_hands_light_skin_tone_e clapping_hands_light_skin_tone_e
clapping_hands_light_skin_tone_e clapping_hands_light_skin_tone_e
clapping_hands_light_skin_tone_e clapping_hands_light_skin_tone_e
