ATENÇÃO atenção
! !
Apesar apesar
de de
ser ser
uma um
das de_o
instituições instituição
responsáveis responsável
pelo por_o
controle controle
e e
rastreamento rastreamento
de de
armas arma
no em_o
país país
, ,
a o
Polícia polícia
Federal federal
admitiu admitir
que que
não não
foi ser
previamente previamente
consultada consultar
por por
Bolsonaro bolsonaro
p p
/ /
avaliar avaliar
os o
impactos impacto
dos de_o
4 4
novos novo
decretos decreto
que que
liberaram liberar
mais muito
armas arma
e e
munições munição
p p
/ /
civis civil
. .
backhand_index_pointing_down_medium-light_skin_tone_e backhand_index_pointing_down_medium-light_skin_tone_e
