@TerraBrasilnot twitterhandle_NOUN_Masc_Sing
E e_CCONJ
FAKE fake_PROPN_Masc_Sing
NEWS news_PROPN_Sing
DO de_o_ADP_DET_Masc_Sing
BOLSONARO bolsonaro_PROPN_Masc_Sing
NAZISTA nazista_PROPN_Sing
QUE que_PROPN_Sing
A a_ADP
PL pl_PROPN_Masc_Sing
E e_CCONJ
PARA para_PROPN_Fem_Sing
CENSURA censura_PROPN_Sing
DA de_o_ADP_DET_Fem_Sing
PALAVRA palavra_PROPN_Sing
DE de_PROPN_Sing
DEUS deus_PROPN_Sing
. .
BOLSONARO bolsonaro_PROPN_Masc_Sing
E e_CCONJ
SEUS seus_PROPN_Masc_Sing
CUMPLICES cumplices_PROPN_Sing
VAO vao_PROPN_Sing
PARA parar_VERB_Fin_Sing
CADEIA cadeia_PROPN_Fem_Sing
, ,
E e_CCONJ
OS os_PROPN_Masc_Plur
SEUS seus_PROPN_Sing
GARIMPEIROS garimpeiros_PROPN_Sing
DE de_PROPN_Sing
RORAIMA roraima_PROPN_Sing
TBM tbm_VERB_Fin_Plur
. .
