Minha meu
solidariedade solidariedade
aos a_o
ex-comandantes ex-comandantes
das de_o
Forças forças
Armadas armadas
e e
ao a_o
ex-Ministro ex-ministro
da de_o
Defesa defesa
, ,
Fernando fernando
Azevedo azevedo
e e
Silva silva
. .
Eles eles
demonstraram demonstrar
grandeza grandeza
ao a_o
recusar recusar
qualquer qualquer
subserviência subserviência
a a
inclinações inclinação
autoritárias autoritário
. .
O o
País país
resistirá resistir
a a
qualquer qualquer
ato ato
que que
comprometa comprometer
o o
Estado estado
Democrático democrático
de de
Direito direito
. .
