@ManuelaDavila twitterhandle
Só só
não não
é ser
livre livre
pensamento pensamento
, ,
liberdade liberdade
de de
expressão expressão
qdo qdo
sai sair
da de_o
boca boca
do de_o
Bolsonaro bolsonaro
. .
Vc vc
bate bater
records records
de de
HIPOCRISIA hipocrisia
. .
O o
que que
me eu
deixa deixar
feliz feliz
é ser
saber saber
que que
o o
mundo mundo
já já
acordou acordar
pra pra
desbancar desbancar
idéias idéia
da de_o
desgraçada desgraçado
classe classe
Comunista comunista
vide vidar
eleição eleição
de de
Trump trump
. .
Vc vc
nunca nunca
será ser
presidente presidente
. .
