@cirogomes twitterhandle_VERB_Fin_Sing
boa bom_ADJ_Fem_Sing
noite noite_NOUN_Fem_Sing
, ,
o o_DET_Masc_Sing
jornal jornal_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
Band band_PROPN_Fem_Sing
, ,
acaba acabar_AUX_Fin_Sing
de de_ADP
dar dar_VERB_Inf
a o_DET_Fem_Sing
notícia notícia_NOUN_Fem_Sing
que que_SCONJ
 "  "
Bolsonaro bolsonaro_PROPN_Masc_Sing
trocou trocar_VERB_Fin_Sing
os o_DET_Masc_Plur
chefes chefe_NOUN_Masc_Plur
das de_o_ADP_DET_Fem_Plur
forças força_NOUN_Fem_Plur
armadas armar_VERB_Part_Fem_Plur
. .
E e_CCONJ
no em_o_ADP_DET_Masc_Sing
mínimo mínimo_NOUN_Masc_Sing
um um_DET_Masc_Sing
equivo equivo_ADJ_Masc_Sing
! !
Eu eu_PRON_Masc_Sing
já já_ADV
enviei enviar_VERB_Fin_Sing
meu meu_DET_Masc_Sing
repúdio repúdio_NOUN_Masc_Sing
na em_o_ADP_DET_Fem_Sing
ouvidoria ouvidoria_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
canal canal_NOUN_Masc_Sing
. .
Esta este_PRON_Fem_Sing
em em_ADP
todo todo_DET_Masc_Sing
lugar lugar_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
os o_DET_Masc_Plur
chefes chefe_NOUN_Masc_Plur
das de_o_ADP_DET_Fem_Plur
forças força_NOUN_Fem_Plur
armadas armar_VERB_Part_Fem_Plur
entregaram entregar_VERB_Fin_Plur
os o_DET_Masc_Plur
cargos cargo_NOUN_Masc_Plur
em em_ADP
conjunto conjunto_NOUN_Masc_Sing
em em_ADP
apoi apoi_NOUN_Masc_Sing
