BOMBA bomba
! !
Enquanto enquanto
a o
mídia mídia
do de_o
Brasil brasil
silencia silenciar
sobre sobre
a o
suposta suposto
facada facada
, ,
site site
dos de_o
EUA eua
publica publicar
reportagem reportagem
que que
liga ligar
clube clube
de de
tiro tiro
, ,
indústria indústria
de de
armas arma
, ,
Bolsonaro bolsonaro
e e
Adélio adélio
a o
extrema extremo
direita direita
norte-americana norte-americano
backhand_index_pointing_down_e backhand_index_pointing_down_e
backhand_index_pointing_down_e backhand_index_pointing_down_e
backhand_index_pointing_down_e backhand_index_pointing_down_e
backhand_index_pointing_down_e backhand_index_pointing_down_e
backhand_index_pointing_down_e backhand_index_pointing_down_e
