Meu meu
pai pai
brigou brigar
com com
a o
família família
, ,
brigou brigar
com com
o o
próprio próprio
irmão irmão
. .
O o
cara cara
viveu viver
em em
PORÃO porão
, ,
três três
cômodos cômodo
, ,
que que
tinha ter
menos menos
de de
1 1
. .
80m 80m
, ,
com com
7 7
pessoas pessoa
dentro dentro
, ,
incluindo incluir
eu eu
bb bb
. .
O o
cara cara
foi ser
roubado roubar
pelo por_o
ex ex
mulher mulher
e e
depois depois
de de
alguns algum
anos ano
casou casar
com com
uma um
mulher mulher
rica rico
e e
evangélica evangélico
e e
hj hj
é ser
bolsonaro bolsonaro
