Mais mais
um um
pastor pastor
com com
mandado mandado
de de
prisão prisão
expedido expedir
por por
Alexandre alexandre
de de
Moraes moraes
incluído incluir
no em_o
inquérito inquérito
do de_o
fim fim
do de_o
mundo mundo
. .
Chamo chamar
aqui aqui
os o
pastores pastor
do de_o
Brasil brasil
, ,
padres padre
e e
clérigos clérigo
a a
se se
manifestarem manifestar
e e
sairem sairem
em em
defesa defesa
de de
um um
cristão cristão
que que
definitivamente definitivamente
a o
única único
coisa coisa
fez fazer
foi ser
estar estar
no em_o
QG qg
. .
