Enquanto enquanto
a o
polícia polícia
bate bater
recordes recorde
de de
apreensão apreensão
de de
drogas droga
e e
combate combate
ao a_o
crime crime
organizado organizar
durante durante
o o
governo governo
Bolsonaro bolsonaro
, ,
Rodrigo rodrigo
Maia maia
quer querer
votar votar
a o
legalização legalização
da de_o
maconha maconha
. .
Quem quem
é ser
cristão cristão
, ,
conservador conservador
e e
contra contra
o o
uso uso
de de
drogas droga
como como
eu eu
se se
apresente apresentar
. .
Bora bora
subir subir
? ?
? ?
? ?
HASHTAG hashtag
#pl399não_h #pl399não_h
