Sim sim
, ,
pastor pastor
! !
o o
estado estado
é ser
laico laico
e e
o o
presidente presidente
nesse em_esse
momento momento
representa representar
a a
todos todo
. .
Temos ter
cristãos cristão
, ,
evangélicos evangélico
, ,
judeus judeu
, ,
umbandistas umbandista
, ,
ateus ateu
. .
. .
. .
queria querer
ver ver
se se
o o
presidente presidente
fosse ser
do de_o
candomblé candomblé
e e
no em_o
discurso discurso
da de_o
vitória vitória
recebesse receber
uma um
entidade entidade
. .
Vc vc
seria ser
o o
primeiro primeiro
a a
chiar chiar
. .
