Queimaram queimar
um um
boneco boneco
representando representar
o o
Presidente presidente
, ,
levaram levar
faixas faixa
pedindo pedir
a o
liberdade liberdade
do de_o
chefe chefe
de de
quadrilha quadrilha
, ,
conhecido conhecido
como como
Lula lula
, ,
e e
no em_o
fim fim
passaram passar
o o
vexame vexame
de de
ver ver
as o
manifestações manifestação
esvaziarem esvaziar
. .
Hoje hoje
não não
foi ser
um um
dia dia
de de
luta luta
pela por_o
educação educação
. .
Foi ser
mais mais
um um
dia dia
para para
a o
esquerda esquerda
destilar destilar
ódio ódio
. .
