@haas_lennon twitterhandle
Lennon lennon
, ,
isso isso
é ser
argumento argumento
batido bater
. .
O o
cara cara
disse dizer
que que
mudou mudar
a o
visão visão
dele de_ele
. .
O o
problema problema
é ser
quando quando
as o
pessoas pessoa
continuam continuar
repetindo repetir
a o
mesma mesmo
coisa coisa
que que
falaram falar
( (
erradas errar
) )
. .
O o
mesmo mesmo
caminho caminho
dos de_o
petistas petista
em em
querer querer
ditar ditar
a o
forma forma
de de
pensar pensar
dos de_o
outros outro
! !
O o
liberdade liberdade
da de_o
escolha escolha
deve dever
estar estar
acima acima
de de
tudo tudo
