Família família
bolsonaro bolsonaro
comprou comprar
51 51
imóveis imóvel
com com
dinheiro dinheiro
vivo vivo
. .
Nesse em_esse
número número
expressivo expressivo
e e
com com
condições condição
peculiares peculiar
não não
está estar
incluída incluir
a o
mansão mansão
que que
flavio flavio
bolsonaro bolsonaro
adquiriu adquirir
p p
/ /
5 5
milhões milhão
reais real
, ,
sem sem
ter ter
renda renda
compatível compatível
para para
tal tal
. .
Negócios negócio
escusos escuso
? ?
Informações informação
com com
bolsonaros bolsonaros
. .
