Esse esse
ministério ministério
de de
Bolsonaro bolsonaro
bate bater
todos todo
os o
recordes recorde
de de
mediocridade mediocridade
já já
visto ver
na em_o
história história
política político
brasileira brasileiro
. .
Pra pra
quem quem
pregou pregar
o o
ódio ódio
, ,
violência violência
a a
vida vida
toda todo
depois depois
ganhou ganhar
as o
eleições eleição
voto voto
de de
piedade piedade
usando usar
o o
nome nome
de de
Deus deus
p p
/ /
pregar pregar
mentiras mentira
acima acima
de de
tudo tudo
. .
