@BolsonaroSP twitterhandle_PROPN_Masc_Sing
Poxa poxa_PROPN_Sing
, ,
tô tô_VERB_Fin_Sing
te tu_PRON_Masc_Sing
ajudando ajudar_VERB_Ger
a a_ADP
vender vender_VERB_Inf
calendário calendário_NOUN_Masc_Sing
na em_o_ADP_DET_Fem_Sing
internet internet_NOUN_Fem_Sing
e e_CCONJ
vc vc_NOUN_Fem_Sing
retribui retribuir_VERB_Fin_Sing
com com_ADP
uma um_DET_Fem_Sing
calúnia calúnia_NOUN_Fem_Sing
dessas de_esse_ADP_PRON_Fem_Plur
? ?
Que que_SCONJ
coisa coisa_NOUN_Fem_Sing
feia feio_ADJ_Fem_Sing
, ,
Dudu dudu_PROPN_Masc_Sing
! !
Super super_PROPN_Masc_Sing
admiro admirar_VERB_Fin_Sing
politicos politicos_NOUN_Masc_Plur
preocupados preocupado_ADJ_Masc_Plur
com com_ADP
corrupção corrupção_NOUN_Fem_Sing
, ,
tem ter_VERB_Fin_Sing
um um_DET_Masc_Sing
caso caso_NOUN_Masc_Sing
de de_ADP
uma um_DET_Fem_Sing
família família_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
comprou comprar_VERB_Fin_Sing
51 51_NUM
imóveis imóvel_NOUN_Masc_Plur
com com_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
, ,
vai ir_VERB_Fin_Sing
atrás atrás_ADV
deles de_eles_ADP_PRON_Masc_Plur
. .
O o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
conta contar_VERB_Fin_Sing
com com_ADP
vc vc_NOUN_Masc_Sing
. .
