@UOLNoticias twitterhandle
Meu meu
Deus deus
! !
O o
presidente presidente
Bolsonaro bolsonaro
sempre sempre
querendo querer
fazer fazer
tudo tudo
pela por_o
força força
e e
violência violência
, ,
por por
falta falta
de de
conhecimento conhecimento
e e
discernimento discernimento
para para
governar governar
o o
Brasil brasil
. .
Ele ele
desde desde
eleito eleger
, ,
escolhe escolher
como como
caminho caminho
de de
governo governo
, ,
ficar ficar
armando armar
de de
tudo tudo
e e
a a
todos todo
, ,
agora agora
, ,
pra pra
ser ser
reeleito reeleger
de de
qualquer qualquer
jeito jeito
. .
