Quando quando
um um
min min
. .
da de_o
Defesa defesa
é ser
demitido demitir
por por
cumprir cumprir
seu seu
dever dever
( (
artigo artigo
142 142
da de_o
Constituição constituição
) )
, ,
e e
os o
3 3
comandantes comandante
das de_o
Forças forças
Armadas armadas
decidem decidir
pedir pedir
demissão demissão
em em
solidariedade solidariedade
é ser
porque porque
não não
admitem admitir
q q
as o
FA fa
sejam ser
tratadas tratar
como como
parte parte
da de_o
disputa disputa
política político
, ,
tal tal
qual qual
pretende pretender
o o
presid presid
Bolsonaro bolsonaro
. .
