Por por
falta falta
de de
arma arma
de de
fogo fogo
, ,
os o
ex ex
maridos marido
, ,
namorados namorar
estão estar
matando matar
as o
mulheres mulher
a a
facada facada
, ,
ateando atear
fogo fogo
, ,
jogando jogar
de de
janelas janela
, ,
estrangulando estrangular
, ,
Bolsonaro bolsonaro
e e
Moro moro
vão ir
facilitar facilitar
, ,
as o
mulheres mulher
vão ir
morrer morrer
com com
tiro tiro
! !
! !
O o
BRASIL brasil
É ser
UM um
PAÍS país
MACHISTA machista
E e
IGNORANTE ignorante
! !
NÃO não
AO a_o
ARMAMENTO armamento
! !
! !
