TSE tse_PROPN_Masc_Sing
decidiu decidir_VERB_Fin_Sing
pela por_o_ADP_DET_Fem_Sing
proibição proibição_NOUN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
posse posse_NOUN_Fem_Sing
de de_ADP
armas arma_NOUN_Fem_Plur
em em_ADP
um um_DET_Masc_Sing
perímetro perímetro_NOUN_Masc_Sing
de de_ADP
até até_ADV
100 100_NUM
metros metro_NOUN_Masc_Plur
dos de_o_ADP_DET_Masc_Plur
locais local_NOUN_Masc_Plur
de de_ADP
votação votação_NOUN_Fem_Sing
. .
A o_DET_Fem_Sing
restrição restrição_NOUN_Fem_Sing
valerá valer_VERB_Fin_Sing
p p_NOUN_Masc_Sing
/ /
período período_NOUN_Masc_Sing
de de_ADP
30 30_NUM
/ /
9 9_NUM
a a_ADP
3 3_NUM
/ /
10 10_NUM
. .
E e_CCONJ
28 28_NUM
a a_ADP
31 31_NUM
/ /
10 10_NUM
. .
. .
Quem quem_PRON_Rel_Sing
descumprir descumprir_VERB_Fin_Sing
responderá responder_VERB_Fin_Sing
por por_ADP
crime crime_NOUN_Masc_Sing
eleitoral eleitoral_ADJ_Masc_Sing
E e_CCONJ
posse posse_NOUN_Fem_Sing
ILEGAL ilegal_ADJ_Fem_Sing
de de_ADP
arma arma_NOUN_Fem_Sing
. .
. .
HASHTAG hashtag_PROPN_Masc_Sing
#eleicoes2022_h #eleicoes2022_h
