Por por_ADP
que que_SCONJ
votar votar_VERB_Inf
no em_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
? ?
O o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
a a_ADP
favor favor_NOUN
do de_o_ADP_DET_Masc_Sing
porte porte_NOUN_Masc_Sing
de de_ADP
armas arma_NOUN_Fem_Plur
para para_ADP
o o_DET_Masc_Sing
cidadão cidadão_NOUN_Masc_Sing
de de_ADP
bem bem_NOUN_Masc_Sing
e e_CCONJ
pessoas pessoa_NOUN_Fem_Plur
capacitadas capacitar_VERB_Part_Fem_Plur
. .
Porque porque_SCONJ
o o_DET_Masc_Sing
Bandido bandido_NOUN_Masc_Sing
esta este_PRON_Fem_Sing
armado armar_VERB_Part_Masc_Sing
. .
E e_CCONJ
o o_DET_Masc_Sing
cidadão cidadão_NOUN_Masc_Sing
de de_ADP
bem bem_ADV
está estar_AUX_Fin_Sing
desarmado desarmar_VERB_Part_Masc_Sing
. .
HASHTAG hashtag_PROPN_Masc_Sing
#bolsonaronorodaviva_h #bolsonaronorodaviva_h
