Prisão prisão
do de_o
sargento sargento
na em_o
Espanha espanha
com com
39 39
kilos kilos
de de
cocaína cocaína
, ,
q q
estava estar
no em_o
avião avião
da de_o
comitiva comitiva
de de
Bolsonaro bolsonaro
repercutiu repercutir
muito muito
internacionalmente internacionalmente
. .
O o
caso caso
é ser
constrangedor constrangedor
p p
/ /
o o
país país
, ,
mostra mostrar
desorganização desorganização
e e
frouxidão frouxidão
do de_o
governo governo
e e
possível possível
contaminação contaminação
de de
setores setor
das de_o
Forças forças
Armadas armadas
c c
/ /
o o
tráfico tráfico
