@Ricamconsult twitterhandle_VERB_Fin_Sing
A o_DET_Fem_Sing
culpa culpa_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
de de_ADP
quem quem_PRON_Rel_Sing
votou votar_VERB_Fin_Sing
nele em_ele_ADP_PRON_Masc_Sing
, ,
nunca nunca_ADV
vi ver_VERB_Fin_Sing
quem quem_PRON_Rel_Sing
não não_ADV
votou votar_VERB_Fin_Sing
nele em_ele_ADP_PRON_Masc_Sing
ter ter_VERB_Inf
culpa culpa_NOUN_Fem_Sing
. .
. .
. .
Parabéns parabéns_NOUN_Masc_Plur
pela por_o_ADP_DET_Fem_Sing
inversão inversão_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
raciocínio raciocínio_NOUN_Masc_Sing
básico básico_ADJ_Masc_Sing
, ,
a a_ADP
propósito propósito_NOUN
, ,
vc vc_PROPN_Masc_Sing
não não_ADV
sabia saber_VERB_Fin_Sing
quem quem_PRON_Rel_Sing
era ser_AUX_Fin_Sing
bolsonaro bolsonaro_ADJ_Masc_Sing
ao a_o_ADP_DET_Masc_Sing
apertar apertar_VERB_Inf
17 17_NUM
né né_NOUN_Masc_Sing
? ?
Faltaram faltar_VERB_Fin_Plur
sinais sinal_NOUN_Masc_Plur
né né_VERB_Fin_Plur
? ?
e e_CCONJ
agora agora_ADV
a o_DET_Fem_Sing
culpa culpa_NOUN_Fem_Sing
é ser_AUX_Fin_Sing
dos de_o_ADP_DET_Masc_Plur
outros outro_PRON_Masc_Plur
? ?
vc vc_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
um um_DET_Masc_Sing
lixo lixo_NOUN_Masc_Sing
, ,
que que_SCONJ
Deus deus_PROPN_Masc_Sing
te tu_PRON_Masc_Sing
perdoe perdoar_VERB_Fin_Sing
