RT rt_PROPN_Masc_Sing
@cappellarianton twitterhandle_PROPN_Sing
: :
Sabendo saber_VERB_Ger
que que_SCONJ
mais mais_ADV
de de_ADP
100 100_NUM
imóveis imóvel_NOUN_Masc_Plur
comprados comprar_VERB_Part_Masc_Plur
pela por_o_ADP_DET_Fem_Sing
família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
foram ser_AUX_Fin_Plur
pagos pagar_VERB_Part_Masc_Plur
com com_ADP
pelo por_o_ADP_DET_Masc_Sing
menos menos_NOUN_Masc_Sing
a o_DET_Fem_Sing
metade metade_NOUN_Fem_Sing
em em_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
… …
