Vergonha vergonha
pro pro
nosso nosso
país país
esse esse
Marcos marcos
Perreira perreira
também também
tá estar
do de_o
lado lado
do de_o
presidente presidente
Jair jair
Bolsonaro bolsonaro
que que
merda merda
de de
pais pai
e e
esse esse
com com
esse esse
governo governo
pelo por_o
amor amor
de de
Deus deus
não não
vamos ir
aceitar aceitar
não não
tô tô
cansado cansado
de de
ver ver
o o
povo povo
aqui aqui
passando passar
fome fome
sem sem
poder poder
ajudar ajudar
pelo por_o
amor amor
de de
Deus deus
