Espalhar espalhar
fake fake
news news
( (
notícias notícia
falsas falso
) )
é ser
um um
atendado atendar
à a_o
democracia democracia
que que
não não
poderia poder
ser ser
praticado praticar
, ,
conscientemente conscientemente
, ,
por por
um um
agente agente
político político
. .
De de
forma forma
alguma algum
. .
Esquerda esquerda
, ,
direita direita
, ,
centrão centrão
, ,
liberal liberal
, ,
socialista socialista
, ,
conservador conservador
, ,
progressista progressista
. .
. .
. .
Tudo tudo
é ser
válido válido
, ,
politicamente politicamente
. .
Fake fake
news news
, ,
NÃO não
. .
