Boa bom
parte parte
da de_o
esquerda esquerda
cometeu cometer
o o
erro erro
grave grave
de de
culpar culpar
o o
" "
pobre pobre
de de
direita direita
" "
votou votar
no em_o
Bolsonaro bolsonaro
em em
2018 @card@
, ,
não não
façamos fazer
isso isso
de de
novo novo
. .
Não não
adianta adiantar
dizer dizer
como como
o o
outro outro
deve dever
votar votar
e e
que que
é ser
burro burro
sem sem
se se
inserir inserir
em em
processos processo
políticos político
. .
Cuidado cuidado
pra pra
não não
cairmos cair
nessas em_esse
armadilhas armadilha
, ,
é ser
+ +
complexo complexo
. .
