@o_antagonista twitterhandle_VERB_Fin_Sing
Quem quem_PRON_Rel_Sing
sabe saber_VERB_Fin_Sing
dizer dizer_VERB_Inf
Moro moro_PROPN_Sing
e e_CCONJ
Bolsonaro bolsonaro_PROPN_Masc_Sing
já já_ADV
mais mais_ADV
? ?
O o_PRON_Masc_Sing
ex ex_PART
juíz juíz_NOUN_Masc_Sing
ladrão ladrão_ADJ_Masc_Sing
se se_PRON_Masc_Sing
achava achar_VERB_Fin_Sing
a o_DET_Fem_Sing
última último_ADJ_Fem_Sing
bolachinha bolachinha_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
pacote pacote_NOUN_Masc_Sing
hoje hoje_ADV
não não_ADV
passa passar_VERB_Fin_Sing
de de_ADP
um um_DET_Masc_Sing
insignificante insignificante_NOUN_Masc_Sing
, ,
na em_o_ADP_DET_Fem_Sing
verdade verdade_NOUN_Fem_Sing
sempre sempre_ADV
foi ser_AUX_Fin_Sing
isso isso_PRON_Masc_Sing
mas mas_CCONJ
a o_DET_Fem_Sing
imprensa imprensa_NOUN_Fem_Sing
insistia insistir_VERB_Fin_Sing
. .
