Incensado incensar_VERB_Part_Masc_Sing
pelas por_o_ADP_DET_Fem_Plur
igrejas igreja_NOUN_Fem_Plur
neopentecostais neopentecostais_ADJ_Fem_Plur
, ,
Bolsonaro bolsonaro_PROPN_Masc_Sing
mescla mesclar_VERB_Fin_Sing
o o_DET_Masc_Sing
nome nome_NOUN_Masc_Sing
de de_ADP
Deus deus_NOUN
a a_ADP
um um_DET_Masc_Sing
nacionalismo nacionalismo_NOUN_Masc_Sing
torto torto_ADJ_Masc_Sing
e e_CCONJ
ultraliberal ultraliberal_ADJ_Masc_Sing
, ,
enquanto enquanto_ADV
destila destilar_VERB_Fin_Sing
seu seu_DET_Masc_Sing
ódio ódio_NOUN_Masc_Sing
contra contra_ADP
grupos grupo_NOUN_Masc_Plur
marginalizados marginalizar_VERB_Part_Masc_Plur
. .
Combater combater_VERB_Inf
essas esse_DET_Fem_Plur
iniquidades iniquidade_NOUN_Fem_Plur
é ser_AUX_Fin_Sing
grande grande_ADJ_Masc_Sing
ato ato_NOUN_Masc_Sing
de de_ADP
amor amor_NOUN_Masc_Sing
ao a_o_ADP_DET_Masc_Sing
próximo próximo_ADJ_Masc_Sing
: :
