Acabei acabar
de de
assistir assistir
um um
vídeo vídeo
que que
mostra mostrar
a a
como como
foi ser
com com
detalhes detalhe
a o
armação armação
da de_o
facada facada
no em_o
Bolsonaro bolsonaro
, ,
se se
tinha ter
alguma algum
dúvida dúvida
se se
tinha ter
sido ser
ou ou
não não
armação armação
, ,
já já
não não
tenho ter
pois pois
agora agora
tenho ter
certeza certeza
de de
que que
foi ser
uma um
grossa grosso
e e
deslavada deslavada
ARMAÇÃO armação
. .
Mais mais
do de_o
nunca nunca
estou estar
do de_o
lado lado
da de_o
verdade verdade
. .
