HASHTAG hashtag_PROPN_Masc_Sing
#urgenteurgentissimo_h #urgenteurgentissimo_h
@camaradeputados twitterhandle_NOUN_Masc_Plur
@SenadoFederal twitterhandle_ADJ_Masc_Sing
@STF_oficial twitterhandle_NOUN_Masc_Sing
Um um_NUM
por por_ADP
um um_NUM
! !
Ladrão ladrão_NOUN_Masc_Sing
, ,
corrupto corrupto_ADJ_Masc_Sing
, ,
bandido bandido_ADJ_Masc_Sing
, ,
não não_ADV
tem ter_AUX_Fin_Sing
que que_SCONJ
estar estar_AUX_Inf
no em_o_ADP_DET_Masc_Sing
parlamento parlamento_NOUN_Masc_Sing
e e_CCONJ
sim sim_ADV
na em_o_ADP_DET_Fem_Sing
cadeia cadeia_NOUN_Fem_Sing
! !
Aguardem aguardar_VERB_Fin_Plur
picaretas picareta_NOUN_Masc_Plur
! !
