HASHTAG hashtag
#ditaduranuncamais_h #ditaduranuncamais_h
- -
Em em
nota nota
, ,
PCdoB pcdob
, ,
PDT pdt
, ,
PT pt
, ,
PSB psb
, ,
PSOL psol
e e
PCB pcb
condenam condenar
a o
louvação louvação
de de
Jair jair
Bolsonaro bolsonaro
ao a_o
golpe golpe
e e
à a_o
ditadura ditadura
militar militar
de de
1964 1964
. .
Os o
partidos partido
não não
aceitam aceitar
a o
tentativa tentativa
de de
negar negar
a o
supressão supressão
das de_o
liberdades liberdade
e e
direitos direito
, ,
bem bem
como como
. .
. .
. .
