Meu meu_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
. .
Deus deus_PROPN_Masc_Sing
conforte confortar_VERB_Fin_Sing
seu seu_DET_Masc_Sing
coração coração_NOUN_Masc_Sing
. .
És ser_VERB_Fin_Sing
o o_DET_Masc_Sing
melhor bom_ADJ_Masc_Sing
dos de_o_ADP_DET_Masc_Plur
presidentes presidente_NOUN_Masc_Plur
que que_PRON_Rel_Masc_Plur
já já_ADV
tivemos ter_VERB_Fin_Plur
. .
green_heart_e green_heart_e
yellow_heart_e yellow_heart_e
flag_brazil_e flag_brazil_e
smiling_face_with_sunglasses_e smiling_face_with_sunglasses_e
thumbs_up_e thumbs_up_e
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
