@UOLNoticias twitterhandle
Só só
espero esperar
que que
quem quem
se se
indignou indignar
com com
a o
compra compra
de de
um um
suposto suposto
triplex triplex
, ,
não não
vote votar
naquele em_aquele
( (
Bolsonaro bolsonaro
) )
e e
sua seu
família família
que que
pagaram pagar
com com
dinheiro dinheiro
vivo vivo
107 @card@
IMÓVEIS imóvel
, ,
né né
? ?
Não não
era ser
sobre sobre
corrupção corrupção
e e
imoralidade imoralidade
? ?
! !
thinking_face_e thinking_face_e
thinking_face_e thinking_face_e
HASHTAG hashtag
#forabolsonaro_h #forabolsonaro_h
