Outro outro
programa programa
bom bom
do de_o
Lula lula
, ,
comparando comparar
os o
preços preço
do de_o
gás gás
, ,
do de_o
diesel diesel
e e
da de_o
comida comida
, ,
entre entre
os o
governos governo
Lula lula
e e
Bolsonaro bolsonaro
. .
De de
novo novo
totalmente totalmente
focado focar
em em
emprego emprego
, ,
salário salário
e e
sustento sustento
da de_o
família família
. .
Programa programa
alegre alegre
, ,
jingles jingle
ótimos ótimo
, ,
o o
povo povo
falando falar
smiling_face_with_hearts_e smiling_face_with_hearts_e
