@LulaOficial twitterhandle
Deixe deixe
de de
ser ser
hipocrita hipocrita
seu seu
ladrão ladrão
. .
Além além
dessa de_esse
foto foto
ser ser
uma um
montagem montagem
mal mal
feita fazer
, ,
ninguém ninguém
no em_o
Brasil brasil
era ser
feliz feliz
na em_o
sua seu
época época
como como
presidente presidente
. .
Nós nós
apenas apenas
respeitamos respeitar
a o
escolha escolha
de de
uma um
minoria minoria
, ,
embora embora
às a_o
urnas urna
devem dever
ter ter
roubado roubar
na em_o
época época
. .
Agora agora
sim sim
somos ser
um um
povo povo
feliz feliz
com com
Bolsonaro bolsonaro
. .
