@VanLiberdade twitterhandle_NOUN_Fem_Sing
@AndreCVentura twitterhandle_VERB_Fin_Sing
Aquele aquele_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
avião avião_NOUN_Masc_Sing
. .
. .
. .
. .
cocaína cocaína_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
viajava viajar_VERB_Fin_Sing
no em_o_ADP_DET_Masc_Sing
avião avião_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
comitiva comitiva_NOUN_Fem_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
EL el_PROPN_Sing
PAÍS país_PROPN_Sing
obtém obter_VERB_Fin_Sing
imagem imagem_NOUN_Fem_Sing
exclusiva exclusivo_ADJ_Fem_Sing
da de_o_ADP_DET_Fem_Sing
bagagem bagagem_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
continha conter_VERB_Fin_Sing
39 39_NUM
quilos quilo_NOUN_Masc_Plur
de de_ADP
droga droga_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
foi ser_AUX_Fin_Sing
levada levar_VERB_Part_Fem_Sing
a a_ADP
Sevilha sevilha_PROPN_Masc_Sing
por por_ADP
um um_DET_Masc_Sing
sargento sargento_NOUN_Masc_Sing
. .
Presidente presidente_PROPN_Masc_Sing
anuncia anunciar_VERB_Fin_Sing
envio envio_NOUN_Masc_Sing
de de_ADP
equipe equipe_NOUN_Fem_Sing
à a_o_ADP_DET_Fem_Sing
Espanha espanha_PROPN_Fem_Sing
