o o_DET_Masc_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
olhou olhar_VERB_Fin_Sing
na em_o_ADP_DET_Fem_Sing
cara cara_NOUN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
ellen ellen_PROPN_Fem_Sing
page page_VERB_Fin_Sing
e e_CCONJ
falou falar_VERB_Fin_Sing
 "  "
você você_PRON_Sing
não não_ADV
parece parecer_AUX_Fin_Sing
lésbica lésbico_ADJ_Fem_Sing
, ,
eu eu_PRON_Masc_Sing
até até_ADV
assobiaria assobiaria_VERB_Fin_Sing
pra pra_ADP
você você_PRON_Sing
na em_o_ADP_DET_Fem_Sing
rua rua_PROPN_Fem_Sing
 "  "
MEU meu_PROPN_Masc_Sing
DEUS deus_PROPN_Sing
? ?
? ?
? ?
? ?
? ?
? ?
